GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oauth2,com.pamarin.oauth2.model,CodeAccessTokenRequest.Builder,0,54,0,0,0,18,0,7,0,7
oauth2,com.pamarin.oauth2.model,AccessTokenResponse,0,75,1,1,0,27,1,12,0,12
oauth2,com.pamarin.oauth2.model,AccessTokenResponse.Builder,0,54,0,0,0,18,0,7,0,7
oauth2,com.pamarin.oauth2.model,RefreshAccessTokenRequest.Builder,0,54,0,0,0,18,0,7,0,7
oauth2,com.pamarin.oauth2.model,ErrorResponse.Builder,0,36,0,0,0,12,0,5,0,5
oauth2,com.pamarin.oauth2.model,AuthorizationRequest,0,163,0,26,0,48,0,31,0,18
oauth2,com.pamarin.oauth2.model,ErrorResponse,28,188,0,14,12,56,4,26,4,19
oauth2,com.pamarin.oauth2.model,RefreshAccessTokenRequest,9,29,0,0,3,13,3,8,3,8
oauth2,com.pamarin.oauth2.model,AuthorizationResponse,6,36,0,2,2,12,2,5,2,4
oauth2,com.pamarin.oauth2.model,AuthorizationRequest.Builder,0,54,0,0,0,18,0,7,0,7
oauth2,com.pamarin.oauth2.model,AuthorizationResponse.Builder,0,27,0,0,0,9,0,4,0,4
oauth2,com.pamarin.oauth2.model,CodeAccessTokenRequest,9,29,0,0,3,13,3,8,3,8
oauth2,com.pamarin.oauth2.exception,GlobalExceptionHandler,5,163,2,2,1,39,2,12,0,12
oauth2,com.pamarin.oauth2.exception,InvalidRedirectUriException,0,10,0,0,0,4,0,2,0,2
oauth2,com.pamarin.oauth2.exception,InvalidHttpBasicAuthenException,0,4,0,0,0,2,0,1,0,1
oauth2,com.pamarin.oauth2.exception,InvalidScopeException,3,7,0,0,1,3,1,1,1,1
oauth2,com.pamarin.oauth2.exception,RequireApprovalException,0,3,0,0,0,1,0,1,0,1
oauth2,com.pamarin.oauth2.exception,InvalidClientIdAndClientSecretException,6,10,0,0,2,4,2,1,2,1
oauth2,com.pamarin.oauth2.exception,InvalidClientIdAndRedirectUriException,6,10,0,0,2,4,2,1,2,1
oauth2,com.pamarin.oauth2.exception,InvalidResponseTypeException,3,7,0,0,1,3,1,1,1,1
oauth2,com.pamarin.oauth2.exception,InvalidClientIdException,3,7,0,0,1,3,1,1,1,1
oauth2,com.pamarin.oauth2.exception,InvalidGrantTypeException,10,0,0,0,4,0,2,0,2,0
oauth2,com.pamarin.oauth2,OAuthConf,37,48,0,0,8,11,5,14,5,14
oauth2,com.pamarin.oauth2,OAuthConf.new AccessTokenGenerator() {...},3,41,0,0,1,15,1,4,1,4
oauth2,com.pamarin.oauth2,OAuthConf.new LoginSession() {...},5,6,0,0,2,1,2,1,2,1
oauth2,com.pamarin.oauth2,AppStarter,5,3,0,0,2,1,1,1,1,1
oauth2,com.pamarin.oauth2,WebConf,0,7,0,0,0,2,0,2,0,2
oauth2,com.pamarin.oauth2.service,AuthorizationRequestVerificationImpl,0,40,0,4,0,8,0,4,0,2
oauth2,com.pamarin.oauth2.service,ClientVerificationImpl,0,115,2,22,0,23,2,13,0,3
oauth2,com.pamarin.oauth2.service,ScopeVerificationImpl,0,81,1,11,0,12,1,7,0,2
oauth2,com.pamarin.oauth2.service,AuthorizationServiceImpl,0,134,1,13,0,22,1,11,0,5
oauth2,com.pamarin.oauth2.validator,GrantType.Validator,1,25,0,6,1,6,1,6,1,3
oauth2,com.pamarin.oauth2.validator,ResponseType.Validator,1,25,0,6,1,6,1,6,1,3
oauth2,com.pamarin.oauth2.validator,ValidUri.Validator,1,23,0,2,1,8,1,4,1,3
oauth2,com.pamarin.oauth2.controller,AuthorizeEndpointCtrl,0,30,0,0,0,11,0,2,0,2
oauth2,com.pamarin.oauth2.controller,TokenEndpointCtrl,0,53,0,0,0,17,0,3,0,3
oauth2,com.pamarin.oauth2.controller,LoginCtrl,1,72,0,2,1,15,1,3,1,2
oauth2,com.pamarin.oauth2.util,HttpBasicAuthenParserImpl,0,83,1,9,0,19,1,7,0,3
oauth2,com.pamarin.oauth2.util,HttpBasicAuthenParser.Output,28,40,4,4,8,12,5,4,1,4
